Namespace(batch_size=1024, dataset='zinc250k', decode_channels=256, decode_layers=3, device=0, dropout=0.5, epochs=400, eval_steps=1, graph_batch=512, hidden_channels=128, log_steps=1, lr=0.001, mask_ratio=0.8, mask_type='dm', num_layers=2, patience=50, runs=1, seed=42, use_sage='GCN', use_valedges_as_input=False)
Start training with mask ratio=0.8
Epoch: 01, Best_epoch: 01, Best_valid: 69.84, Loss: 0.8954, 
***************
Epoch: 02, Best_epoch: 02, Best_valid: 82.64, Loss: 0.8248, 
***************
Epoch: 03, Best_epoch: 03, Best_valid: 87.17, Loss: 0.8093, 
***************
Epoch: 04, Best_epoch: 04, Best_valid: 88.37, Loss: 0.8011, 
***************
Epoch: 05, Best_epoch: 05, Best_valid: 89.62, Loss: 0.7958, 
***************
Epoch: 06, Best_epoch: 06, Best_valid: 90.73, Loss: 0.7921, 
***************
Epoch: 07, Best_epoch: 07, Best_valid: 91.40, Loss: 0.7891, 
***************
Epoch: 08, Best_epoch: 08, Best_valid: 92.21, Loss: 0.7874, 
***************
Epoch: 09, Best_epoch: 09, Best_valid: 92.86, Loss: 0.7849, 
***************
Epoch: 10, Best_epoch: 10, Best_valid: 93.23, Loss: 0.7838, 
***************
Epoch: 11, Best_epoch: 11, Best_valid: 93.66, Loss: 0.7827, 
***************
Epoch: 12, Best_epoch: 12, Best_valid: 93.96, Loss: 0.7812, 
***************
Epoch: 13, Best_epoch: 13, Best_valid: 94.22, Loss: 0.7802, 
***************
Epoch: 14, Best_epoch: 14, Best_valid: 94.45, Loss: 0.7793, 
***************
Epoch: 15, Best_epoch: 15, Best_valid: 94.52, Loss: 0.7787, 
***************
Epoch: 16, Best_epoch: 16, Best_valid: 94.55, Loss: 0.7782, 
***************
Epoch: 17, Best_epoch: 16, Best_valid: 94.55, Loss: 0.7770, 
***************
Epoch: 18, Best_epoch: 18, Best_valid: 94.71, Loss: 0.7768, 
***************
Epoch: 19, Best_epoch: 19, Best_valid: 94.86, Loss: 0.7762, 
***************
Epoch: 20, Best_epoch: 19, Best_valid: 94.86, Loss: 0.7758, 
***************
Epoch: 21, Best_epoch: 19, Best_valid: 94.86, Loss: 0.7748, 
***************
Epoch: 22, Best_epoch: 19, Best_valid: 94.86, Loss: 0.7753, 
***************
Epoch: 23, Best_epoch: 23, Best_valid: 95.02, Loss: 0.7747, 
***************
