Namespace(batch_size=1024, dataset='zinc12k', decode_channels=256, decode_layers=3, device=0, dropout=0.5, epochs=400, eval_steps=1, graph_batch=12000, hidden_channels=128, log_steps=1, lr=0.001, mask_ratio=0.8, mask_type='dm', num_layers=2, patience=50, runs=1, seed=42, use_sage='GCN', use_valedges_as_input=False)
Start training with mask ratio=0.8
Epoch: 69, Best_epoch: 69, Best_valid: 87.61, Loss: 0.7739, 
***************
Epoch: 70, Best_epoch: 70, Best_valid: 87.63, Loss: 0.7739, 
***************
Epoch: 71, Best_epoch: 70, Best_valid: 87.63, Loss: 0.7727, 
***************
Epoch: 72, Best_epoch: 70, Best_valid: 87.63, Loss: 0.7726, 
***************
Epoch: 73, Best_epoch: 70, Best_valid: 87.63, Loss: 0.7731, 
***************
Epoch: 74, Best_epoch: 74, Best_valid: 88.36, Loss: 0.7730, 
***************
Epoch: 75, Best_epoch: 74, Best_valid: 88.36, Loss: 0.7725, 
***************
Epoch: 76, Best_epoch: 74, Best_valid: 88.36, Loss: 0.7714, 
***************
Epoch: 77, Best_epoch: 77, Best_valid: 88.44, Loss: 0.7714, 
***************
Epoch: 78, Best_epoch: 77, Best_valid: 88.44, Loss: 0.7705, 
***************
Epoch: 79, Best_epoch: 77, Best_valid: 88.44, Loss: 0.7701, 
***************
Epoch: 80, Best_epoch: 77, Best_valid: 88.44, Loss: 0.7695, 
***************
Epoch: 81, Best_epoch: 77, Best_valid: 88.44, Loss: 0.7694, 
***************
Epoch: 82, Best_epoch: 77, Best_valid: 88.44, Loss: 0.7675, 
***************
Epoch: 83, Best_epoch: 77, Best_valid: 88.44, Loss: 0.7673, 
***************
Epoch: 84, Best_epoch: 77, Best_valid: 88.44, Loss: 0.7693, 
***************
Epoch: 85, Best_epoch: 77, Best_valid: 88.44, Loss: 0.7668, 
***************
Epoch: 86, Best_epoch: 77, Best_valid: 88.44, Loss: 0.7670, 
***************
Epoch: 87, Best_epoch: 77, Best_valid: 88.44, Loss: 0.7665, 
***************
Epoch: 88, Best_epoch: 88, Best_valid: 88.45, Loss: 0.7661, 
***************
Epoch: 89, Best_epoch: 88, Best_valid: 88.45, Loss: 0.7653, 
***************
Epoch: 90, Best_epoch: 88, Best_valid: 88.45, Loss: 0.7660, 
***************
Epoch: 91, Best_epoch: 91, Best_valid: 89.07, Loss: 0.7660, 
***************
Epoch: 92, Best_epoch: 92, Best_valid: 89.23, Loss: 0.7656, 
***************
Epoch: 93, Best_epoch: 92, Best_valid: 89.23, Loss: 0.7637, 
***************
Epoch: 94, Best_epoch: 92, Best_valid: 89.23, Loss: 0.7652, 
***************
Epoch: 95, Best_epoch: 92, Best_valid: 89.23, Loss: 0.7617, 
***************
Epoch: 96, Best_epoch: 92, Best_valid: 89.23, Loss: 0.7639, 
***************
Epoch: 97, Best_epoch: 92, Best_valid: 89.23, Loss: 0.7619, 
***************
